14
96,000000 167,888437 69,834749
96,000000 69,834749 152,111563
224,000000 167,888437 69,834749
96,000000 250,165251 167,888437
224,000000 152,111563 250,165251
96,000000 152,111563 250,165251
224,000000 69,834749 152,111563
224,000000 250,165251 167,888437
288,000000 160,000000 160,000000
32,000000 160,000000 160,000000
160,000000 258,053689 77,723186
160,000000 61,946311 242,276814
160,000000 242,276814 258,053689
160,000000 77,723186 61,946311
36
0 1
0 2
0 3
4 5
4 6
4 7
7 2
7 3
1 5
6 2
6 1
3 5
0 9
1 9
5 9
3 9
6 8
4 8
7 8
2 8
0 10
3 10
7 10
2 10
1 11
4 11
5 11
6 11
4 12
7 12
3 12
5 12
0 13
1 13
2 13
6 13
