14
336,000000 23,425626 -87,425626
336,000000 -87,425626 -23,425626
464,000000 23,425626 -87,425626
336,000000 87,425626 23,425626
464,000000 -23,425626 87,425626
336,000000 -23,425626 87,425626
464,000000 -87,425626 -23,425626
464,000000 87,425626 23,425626
528,000000 0,000000 0,000000
272,000000 0,000000 0,000000
400,000000 110,851252 -64,000000
400,000000 -110,851252 64,000000
400,000000 64,000000 110,851252
400,000000 -64,000000 -110,851252
36
0 1
0 2
0 3
4 5
4 6
4 7
7 2
7 3
1 5
6 2
6 1
3 5
0 9
1 9
5 9
3 9
6 8
4 8
7 8
2 8
0 10
3 10
7 10
2 10
1 11
4 11
5 11
6 11
4 12
7 12
3 12
5 12
0 13
1 13
2 13
6 13
